unigram,unigram_freq,bigram,bigram_freq,trigram,trigram_freq
food, 787,"dog,food", 250,"dog,loves,it", 28
dog, 682,"blue,buffalo", 148,"dogs,love,it", 25
dogs, 350,"dog,loves", 85,"dog,loves,food", 20
it, 252,"dogs,love", 75,"bag,dog,food", 18
blue, 208,"loves,it", 51,"great,dog,food", 16
bag, 201,"love,it", 47,"dog,food,dog", 13
love, 192,"loves,food", 37,"dogs,love,food", 12
loves, 165,"food,dogs", 31,"dog,food,dogs", 12
buffalo, 154,"food,dog", 30,"dry,dog,food", 10
great, 149,"love,food", 23,"love,dog,food", 10
good, 122,"bag,dog", 21,"blue,buffalo,dog", 9
eat, 117,"great,dog", 20,"blue,buffalo,amazon", 8
product, 115,"great,food", 20,"dog,food,bag", 8
brand, 89,"dog,eat", 19,"buffalo,dog,food", 8
box, 87,"dry,food", 17,"dog,food,box", 7
amazon, 86,"feeding,dog", 16,"quality,dog,food", 7
time, 85,"subscribe,save", 15,"good,dog,food", 7
quality, 78,"great,price", 15,"box,dog,food", 7
years, 75,"dogs,eat", 15,"dog,food,years", 6
eating, 67,"pet,store", 14,"chicken,brown,rice", 6
