unigram,unigram_freq,bigram,bigram_freq,
food, 787,"dog,food", 250,
dog, 682,"blue,buffalo", 148,
dogs, 350,"dog,loves", 85,
it, 252,"dogs,love", 75,
blue, 208,"loves,it", 51,
bag, 201,"love,it", 47,
love, 192,"loves,food", 37,
loves, 165,"food,dogs", 31,
buffalo, 154,"food,dog", 30,
great, 149,"love,food", 23,
good, 122,"bag,dog", 21,
eat, 117,"great,dog", 20,
product, 115,"great,food", 20,
brand, 89,"dog,eat", 19,
box, 87,"dry,food", 17,
amazon, 86,"feeding,dog", 16,
time, 85,"subscribe,save", 15,
quality, 78,"great,price", 15,
years, 75,"dogs,eat", 15,
eating, 67,"pet,store", 14,
feeding, 67,"great,product", 14,
price, 67,"dog,likes", 14,
healthy, 66,"dog,sick", 14,
started, 62,"switched,food", 13,
store, 58,"dogs,food", 13,
